EvaluationID,SectionId,EvaluationType,Weightage
1,1,Quiz,2
2,2,Assignment,3
3,3,Midterm2,10
4,4,Midterm2,10
5,5,FinalExam,40
6,6,Project,15
7,7,Assignment,3
8,8,Quiz,2
9,9,Quiz,2
10,10,Quiz,2
11,11,Assignment,3
12,12,Midterm2,10
13,13,Midterm2,10
14,14,FinalExam,45
15,15,Project,15
16,16,Assignment,3
17,17,Quiz,2
18,18,Quiz,2
19,19,Quiz,2
20,20,Assignment,3
21,21,Midterm,10
22,22,Midterm2,10
23,23,FinalExam,40
24,24,Project,10
25,25,Assignment,3
26,26,Quiz,2
27,27,Quiz,2
28,28,Quiz,2
29,29,Quiz,2
30,30,Assignment,3
31,31,Midterm,10
32,32,Midterm2,10
33,33,FinalExam,45
34,34,Project,10
35,35,Assignment,3
36,36,Quiz,2
37,37,Quiz,2
38,38,Quiz,2
39,39,Assignment,3
40,40,Midterm2,10
41,41,Midterm,10
42,42,FinalExam,45
43,43,Project,10
44,44,Assignment,3
45,45,Quiz,2
46,46,Quiz,2
47,47,Quiz,2
48,48,Assignment,3
49,49,Midterm2,10
50,50,Midterm2,10
